Geo Point;Geo Shape;gml_id;GID;GEOM_O;IDENT;NUMERO;GROUPE;NUMORDRE;LIBELLE;VEHICULE;SOURCE;TYPE;ACTIF;VOIRIE;INSEE;CDATE;MDATE
44.827157, -0.614267;"{""coordinates"": [-0.614267, 44.827157], ""type"": ""Point""}";SV_ARRET_P.3904;3904;0;T_MITTER_A;5228;T_MITTER;1;Francois Mitterrand;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33281;2007-06-21T02:00:00+02:00;2007-06-21T02:00:00+02:00
44.827166, -0.61417;"{""coordinates"": [-0.61417, 44.827166], ""type"": ""Point""}";SV_ARRET_P.3905;3905;0;T_MITTER_R;5229;T_MITTER;2;Francois Mitterrand;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33281;2007-06-21T02:00:00+02:00;2007-06-21T02:00:00+02:00
44.850009, -0.655959;"{""coordinates"": [-0.655959, 44.850009], ""type"": ""Point""}";SV_ARRET_P.3986;3986;0;T_ROBINS_R;7334;T_ROBINS;2;Freres Robinson;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33281;2015-01-24T01:00:00+01:00;2015-01-24T01:00:00+01:00
44.849779, -0.544302;"{""coordinates"": [-0.544302, 44.849779], ""type"": ""Point""}";SV_ARRET_P.3813;3813;0;T_GALIN_R;3705;T_GALIN;2;Galin;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33063;2003-12-21T01:00:00+01:00;2003-12-21T01:00:00+01:00
44.916787, -0.623647;"{""coordinates"": [-0.623647, 44.916787], ""type"": ""Point""}";SV_ARRET_P.4027;4027;0;T_BQF_R;7720;T_BQF;2;Gare De Blanquefort;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33056;2016-12-17T01:00:00+01:00;2016-12-17T01:00:00+01:00
44.887357, -0.609757;"{""coordinates"": [-0.609757, 44.887357], ""type"": ""Point""}";SV_ARRET_P.4023;4023;0;T_BRU_R;7716;T_BRU;2;Gare De Bruges;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33075;2016-12-17T01:00:00+01:00;2016-12-17T01:00:00+01:00
44.825918, -0.556844;"{""coordinates"": [-0.556844, 44.825918], ""type"": ""Point""}";SV_ARRET_P.3950;3950;0;T_GARE_R;5433;T_GARE;2;Gare Saint-Jean;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33063;2008-02-27T01:00:00+01:00;2008-02-27T01:00:00+01:00
44.862337, -0.575297;"{""coordinates"": [-0.575297, 44.862337], ""type"": ""Point""}";SV_ARRET_P.3943;3943;0;T_PARC_A;5402;T_PARC;1;Grand Parc;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33063;2007-11-19T01:00:00+01:00;2007-11-19T01:00:00+01:00
44.862269, -0.575331;"{""coordinates"": [-0.575331, 44.862269], ""type"": ""Point""}";SV_ARRET_P.3944;3944;0;T_PARC_R;5403;T_PARC;2;Grand Parc;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33063;2007-11-19T01:00:00+01:00;2007-11-19T01:00:00+01:00
44.842069, -0.575322;"{""coordinates"": [-0.575322, 44.842069], ""type"": ""Point""}";SV_ARRET_P.3868;3868;0;T_THEAT_R;3762;T_THEAT;2;Grand Theatre;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33063;2004-05-15T02:00:00+02:00;2004-05-15T02:00:00+02:00
44.787666, -0.655402;"{""coordinates"": [-0.655402, 44.787666], ""type"": ""Point""}";SV_ARRET_P.4011;4011;0;T_HOPHLV_A;7436;T_HOPHLV;1;Hopital Haut Leveque;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33318;2015-06-22T02:00:00+02:00;2015-06-22T02:00:00+02:00
44.873938, -0.628667;"{""coordinates"": [-0.628667, 44.873938], ""type"": ""Point""}";SV_ARRET_P.4051;4051;0;T_HIPPO_A;8348;T_HIPPO;1;Hippodrome;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33069;2020-02-29T01:00:00+01:00;2020-02-29T01:00:00+01:00
44.834927, -0.588806;"{""coordinates"": [-0.588806, 44.834927], ""type"": ""Point""}";SV_ARRET_P.3886;3886;0;T_POLICE_R;4582;T_POLICE;2;Hotel De Police;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33063;2005-09-26T02:00:00+02:00;2005-09-26T02:00:00+02:00
44.86853, -0.52272;"{""coordinates"": [-0.52272, 44.86853], ""type"": ""Point""}";SV_ARRET_P.3799;3799;0;T_IRIS_A;3689;T_IRIS;1;Iris;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33249;2003-12-21T01:00:00+01:00;2003-12-21T01:00:00+01:00
44.848231, -0.575322;"{""coordinates"": [-0.575322, 44.848231], ""type"": ""Point""}";SV_ARRET_P.3935;3935;0;T_PUBLIC_A;5394;T_PUBLIC;1;Jardin Public;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33063;2007-11-19T01:00:00+01:00;2007-11-19T01:00:00+01:00
44.853787, -0.537851;"{""coordinates"": [-0.537851, 44.853787], ""type"": ""Point""}";SV_ARRET_P.3810;3810;0;T_JAURES_A;3702;T_JAURES;1;Jean Jaures;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33119;2003-12-21T01:00:00+01:00;2003-12-21T01:00:00+01:00
44.854092, -0.51311;"{""coordinates"": [-0.51311, 44.854092], ""type"": ""Point""}";SV_ARRET_P.3898;3898;0;T_ZAY_R;5213;T_ZAY;2;Jean Zay;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33119;2007-02-27T01:00:00+01:00;2007-02-27T01:00:00+01:00
44.850784, -0.508863;"{""coordinates"": [-0.508863, 44.850784], ""type"": ""Point""}";SV_ARRET_P.3900;3900;0;T_MAREGU_A;5215;T_MAREGU;1;La Maregue;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33119;2007-02-27T01:00:00+01:00;2007-02-27T01:00:00+01:00
44.854966, -0.518146;"{""coordinates"": [-0.518146, 44.854966], ""type"": ""Point""}";SV_ARRET_P.3803;3803;0;T_MORL_R;3693;T_MORL;2;La Morlette;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33119;2003-12-21T01:00:00+01:00;2003-12-21T01:00:00+01:00
44.87911, -0.517865;"{""coordinates"": [-0.517865, 44.87911], ""type"": ""Point""}";SV_ARRET_P.3794;3794;0;T_LAURI_R;3684;T_LAURI;2;Lauriers;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33249;2003-12-21T01:00:00+01:00;2003-12-21T01:00:00+01:00
44.798212, -0.551831;"{""coordinates"": [-0.551831, 44.798212], ""type"": ""Point""}";SV_ARRET_P.4001;4001;0;T_GARBEG_A;7398;T_GARBEG;1;Gare De Begles;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33039;2015-03-16T01:00:00+01:00;2015-03-16T01:00:00+01:00
44.869152, -0.609349;"{""coordinates"": [-0.609349, 44.869152], ""type"": ""Point""}";SV_ARRET_P.4045;4045;0;T_ECUS_A;8342;T_ECUS;1;Les Ecus;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33069;2020-02-29T01:00:00+01:00;2020-02-29T01:00:00+01:00
44.834959, -0.647478;"{""coordinates"": [-0.647478, 44.834959], ""type"": ""Point""}";SV_ARRET_P.3917;3917;0;T_LYCEES_R;5241;T_LYCEES;2;Lycees De Merignac;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33281;2007-06-21T02:00:00+02:00;2007-06-21T02:00:00+02:00
44.865272, -0.60493;"{""coordinates"": [-0.60493, 44.865272], ""type"": ""Point""}";SV_ARRET_P.4042;4042;0;T_MAIBOU_R;8331;T_MAIBOU;2;Mairie Du Bouscat;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33069;2020-02-29T01:00:00+01:00;2020-02-29T01:00:00+01:00
44.808022, -0.551523;"{""coordinates"": [-0.551523, 44.808022], ""type"": ""Point""}";SV_ARRET_P.3997;3997;0;T_STADMU_A;7394;T_STADMU;1;Stade Musard;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33039;2015-03-16T01:00:00+01:00;2015-03-16T01:00:00+01:00
44.835547, -0.575327;"{""coordinates"": [-0.575327, 44.835547], ""type"": ""Point""}";SV_ARRET_P.3861;3861;0;T_MUSEE_A;3755;T_MUSEE;1;Musee D'Aquitaine;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33063;2004-05-15T02:00:00+02:00;2004-05-15T02:00:00+02:00
